star_name,event_id,frequency,time,amplitude,uncertainty,snr,intensity,pol_amplitude,3_sigma_limit,max_pol_fraction
J035829-5446.6,22, f090,1599285338.0,130.3,22.3,5.843049327354261,130.3,73.76,85.88,0.6591
J035829-5446.6,22, f150,1599285383.0,198.0,38.0,5.2105263157894735,198.0,14.2,81.32,0.4107
J035829-5446.6,22, f150,1599483426.0,124.3,36.6,3.396174863387978,124.3,36.74,50.23,0.4041
J035829-5446.6,22, f150,1599567364.0,228.5,39.4,5.799492385786802,228.5,36.74,50.23,0.2198
J035829-5446.6,22, f150,1599567366.0,221.1,22.7,9.740088105726873,221.1,36.74,50.23,0.2272
J035829-5446.6,22, f090,1599567369.0,83.2,20.9,3.980861244019139,83.2,23.86,56.05,0.6737
J035829-5446.6,22, f220,1599567396.0,208.1,58.4,3.5633561643835616,208.1,33.33,132.08,0.6347
J035829-5446.6,22, f220,1599632202.0,397.8,60.4,6.586092715231788,397.8,33.33,132.08,0.332
J035829-5446.6,22, f150,1599632214.0,262.4,23.5,11.165957446808509,262.4,36.74,50.23,0.1914
J035829-5446.6,22, f090,1599632216.0,83.1,19.7,4.218274111675127,83.1,23.86,56.05,0.6745
J035829-5446.6,22, f150,1599632253.0,193.0,34.5,5.594202898550725,193.0,36.74,50.23,0.2603
J035829-5446.6,22, f150,1599825811.0,290.4,55.7,5.213644524236983,290.4,30.96,95.92,0.3303
J035829-5446.6,22, f150,1599825852.0,191.7,31.8,6.028301886792453,191.7,30.96,95.92,0.5004
J035829-5446.6,22, f090,1599825852.0,124.7,26.0,4.796153846153846,124.7,19.6,89.04,0.714
J035829-5446.6,22, f090,1599978045.0,146.7,26.8,5.473880597014925,146.7,39.05,93.54,0.6376
J035829-5446.6,22, f150,1599978056.0,237.4,34.4,6.901162790697675,237.4,34.11,110.81,0.4668
J035829-5446.6,22, f150,1600517389.0,241.4,39.7,6.080604534005038,241.4,15.55,51.16,0.2119
J035829-5446.6,22, f150,1600601332.0,215.8,24.2,8.917355371900827,215.8,15.55,51.16,0.2371
J035829-5446.6,22, f150,1600601338.0,257.5,40.3,6.389578163771713,257.5,15.55,51.16,0.1987
J035829-5446.6,22, f090,1600601356.0,150.1,21.5,6.981395348837209,150.1,33.14,51.33,0.342
J035829-5446.6,22, f220,1600601386.0,442.1,52.5,8.42095238095238,442.1,62.92,138.72,0.3138
J035829-5446.6,22, f090,1600666181.0,152.8,21.1,7.241706161137441,152.8,33.14,51.33,0.3359
J035829-5446.6,22, f220,1600666184.0,306.2,49.4,6.198380566801619,306.2,62.92,138.72,0.4531
J035829-5446.6,22, f150,1600666189.0,261.3,23.2,11.26293103448276,261.3,15.55,51.16,0.1958
J035829-5446.6,22, f150,1600666218.0,233.4,36.7,6.35967302452316,233.4,15.55,51.16,0.2192
J035829-5446.6,22, f150,1600859875.0,209.1,27.0,7.7444444444444445,209.1,26.65,103.51,0.495
J035829-5446.6,22, f090,1600859884.0,124.2,23.1,5.376623376623376,124.2,21.93,90.17,0.726
J035829-5446.6,22, f090,1601012023.0,132.3,20.9,6.330143540669858,132.3,6.72,58.26,0.4404
J035829-5446.6,22, f220,1601012026.0,322.8,92.0,3.508695652173913,322.8,136.3,356.92,1.1057
J035829-5446.6,22, f150,1601012037.0,228.6,28.0,8.164285714285715,228.6,6.22,65.17,0.2851
J035829-5446.6,22, f150,1601012063.0,235.6,47.6,4.949579831932772,235.6,6.22,65.17,0.2766
J035829-5446.6,22, f150,1601203270.0,216.8,47.7,4.545073375262055,216.8,6.22,65.17,0.3006
J035829-5446.6,22, f090,1601203309.0,132.8,22.1,6.009049773755656,132.8,6.72,58.26,0.4387
J035829-5446.6,22, f150,1601203315.0,215.8,28.2,7.652482269503547,215.8,6.22,65.17,0.302
J035829-5446.6,22, f090,1601353266.0,179.0,24.0,7.458333333333333,179.0,22.06,87.53,0.489
J035829-5446.6,22, f220,1601353276.0,396.7,91.7,4.326063249727372,396.7,34.71,343.39,0.8656
J035829-5446.6,22, f150,1601353280.0,257.7,33.3,7.738738738738739,257.7,28.6,97.32,0.3776
J035829-5446.6,22, f150,1602237232.0,182.3,49.1,3.7128309572301426,182.3,13.75,87.87,0.482
J035829-5446.6,22, f150,1602237285.0,234.6,29.1,8.061855670103093,234.6,13.75,87.87,0.3746
J035829-5446.6,22, f090,1602237302.0,163.2,22.9,7.126637554585153,163.2,23.86,82.92,0.5081
J035829-5446.6,22, f090,1602387245.0,144.0,25.3,5.691699604743083,144.0,3.19,89.47,0.6213
J035829-5446.6,22, f150,1602387257.0,235.4,35.0,6.725714285714286,235.4,28.09,102.54,0.4356
J035829-5446.6,22, f150,1602585396.0,161.0,45.1,3.5698447893569845,161.0,9.11,77.56,0.4818
J035829-5446.6,22, f090,1602585407.0,119.6,30.9,3.870550161812298,119.6,2.96,67.35,0.5631
J035829-5446.6,22, f220,1602734087.0,253.4,77.1,3.2866407263294426,253.4,148.86,306.24,1.2085
J035829-5446.6,22, f150,1602734114.0,233.6,26.8,8.716417910447761,233.6,9.11,77.56,0.332
J035829-5446.6,22, f090,1602734124.0,123.6,21.5,5.748837209302326,123.6,2.96,67.35,0.5449
J035829-5446.6,22, f150,1602734191.0,173.8,46.0,3.7782608695652176,173.8,9.11,77.56,0.4463
J035829-5446.6,22, f150,1602927775.0,197.9,41.4,4.780193236714976,197.9,27.64,79.77,0.4031
J035829-5446.6,22, f090,1602927784.0,137.6,21.4,6.429906542056075,137.6,16.89,79.6,0.5785
J035829-5446.6,22, f150,1602927788.0,139.6,25.9,5.38996138996139,139.6,27.64,79.77,0.5714
J035829-5446.6,22, f220,1602927804.0,215.2,57.2,3.762237762237762,215.2,48.1,215.24,1.0002
J035829-5446.6,22, f090,1603079951.0,193.6,28.2,6.865248226950355,193.6,13.37,89.94,0.4645
J035829-5446.6,22, f150,1603079955.0,133.1,39.8,3.3442211055276383,133.1,72.9,114.53,0.8605
J035829-5446.6,22, f090,1603421223.0,133.1,25.3,5.260869565217391,133.1,28.4,91.6,0.6882
J040942-0753.4,20, f150,1572577606.0,168.0,55.8,3.010752688172043,168.0,41.8,81.87,0.4873
J040942-0753.4,20, f090,1575679175.0,218.9,29.5,7.420338983050848,218.9,24.76,80.01,0.3655
J040942-0753.4,20, f150,1575679179.0,134.3,42.7,3.1451990632318503,134.3,48.77,100.66,0.7495
J040942-0753.4,20, f090,1575679479.0,160.0,31.2,5.128205128205129,160.0,24.76,80.01,0.5001
J050047-5715.6,11, f090,1541667611.0,210.2,24.8,8.475806451612902,210.2,4.03,38.29,0.1821
J050047-5715.6,11, f150,1541667622.0,166.4,26.4,6.303030303030304,166.4,19.51,44.71,0.2687
J050047-5715.6,11, f150,1541668158.0,146.4,35.1,4.170940170940171,146.4,19.51,44.71,0.3054
J050047-5715.6,11, f090,1541668239.0,112.4,18.4,6.108695652173914,112.4,4.03,38.29,0.3406
J050047-5715.6,11, f150,1541668251.0,130.6,24.1,5.41908713692946,130.6,19.51,44.71,0.3423
J051921-0720.7,6, f090,1511317488.0,103.6,24.7,4.194331983805668,103.6,20.34,48.18,0.4651
J051921-0720.7,6, f090,1511317840.0,122.5,24.1,5.08298755186722,122.5,20.34,48.18,0.3933
J051921-0720.7,6, f150,1511491813.0,128.7,37.6,3.4228723404255317,128.7,51.07,69.92,0.5433
J051921-0720.7,6, f090,1511491815.0,200.9,29.9,6.719063545150502,200.9,13.45,55.36,0.2756
J051921-0720.7,6, f150,1511492099.0,228.1,36.8,6.198369565217392,228.1,51.07,69.92,0.3065
J051921-0720.7,6, f090,1511492108.0,214.0,27.0,7.925925925925926,214.0,13.45,55.36,0.2587
J051921-0720.7,6, f150,1540118685.0,248.1,40.9,6.06601466992665,248.1,5.31,58.89,0.2374
J051921-0720.7,6, f090,1540118691.0,212.1,31.6,6.712025316455696,212.1,21.02,47.15,0.2223
J051921-0720.7,6, f090,1540119074.0,267.2,28.3,9.441696113074205,267.2,21.02,47.15,0.1764
J051921-0720.7,6, f150,1540119077.0,152.4,38.0,4.010526315789474,152.4,5.31,58.89,0.3864
J101935+1952.3,13, f150,1545383907.0,210.0,26.2,8.01526717557252,210.0,15.29,29.63,0.1411
J125045+1133.4,16, f090,1568734462.0,289.8,33.6,8.625,289.8,33.81,48.56,0.1676
J125045+1133.4,16, f150,1568734468.0,223.9,45.7,4.899343544857768,223.9,44.23,74.04,0.3307
J125045+1133.4,16, f150,1568734896.0,161.2,38.8,4.154639175257732,161.2,44.23,74.04,0.4593
J125045+1133.4,16, f090,1568734905.0,182.6,27.7,6.5920577617328515,182.6,33.81,48.56,0.2659
J130046+1222.5,10, f090,1540471707.0,117.3,17.7,6.627118644067797,117.3,5.73,20.02,0.1707
J130046+1222.5,10, f150,1540471709.0,105.6,23.4,4.512820512820513,105.6,11.76,23.1,0.2187
J130046+1222.5,10, f090,1540472125.0,115.8,17.5,6.6171428571428565,115.8,5.73,20.02,0.1729
J130046+1222.5,10, f150,1544452664.0,77.1,25.2,3.0595238095238093,77.1,15.57,34.94,0.4532
J130529+1249.6,14, f150,1552466143.0,268.8,25.5,10.541176470588235,268.8,19.55,47.72,0.1775
J130529+1249.6,14, f090,1552466150.0,140.7,19.5,7.215384615384615,140.7,8.51,41.23,0.293
J130529+1249.6,14, f150,1552466499.0,137.8,45.8,3.0087336244541487,137.8,19.55,47.72,0.3463
J130529+1249.6,14, f090,1552466561.0,111.7,21.4,5.219626168224299,111.7,8.51,41.23,0.3691
J130529+1249.6,14, f150,1552466570.0,99.9,27.3,3.6593406593406597,99.9,19.55,47.72,0.4777
J130529+1249.6,14, f150,1552635500.0,88.9,21.1,4.213270142180095,88.9,11.29,36.53,0.4109
J130529+1249.6,14, f090,1552635514.0,158.2,18.0,8.788888888888888,158.2,7.57,32.59,0.206
J130529+1249.6,14, f090,1552636038.0,134.6,22.5,5.982222222222222,134.6,7.57,32.59,0.2421
J130529+1249.6,14, f150,1552636051.0,103.4,25.0,4.136,103.4,11.29,36.53,0.3533
J130529+1249.6,14, f150,1552707412.0,127.4,34.9,3.6504297994269344,127.4,11.29,36.53,0.2867
J130529+1249.6,14, f150,1555911287.0,122.5,39.4,3.1091370558375635,122.5,25.56,94.96,0.7751
J130529+1249.6,14, f090,1564773173.0,127.1,20.1,6.323383084577114,127.1,3.4,31.4,0.2471
J130529+1249.6,14, f150,1564773184.0,129.0,25.1,5.139442231075697,129.0,22.31,35.85,0.2779
J130529+1249.6,14, f090,1564773673.0,120.6,20.0,6.029999999999999,120.6,3.4,31.4,0.2604
J130529+1249.6,14, f150,1564773681.0,126.8,23.6,5.372881355932203,126.8,22.31,35.85,0.2827
J130529+1249.6,14, f090,1564870807.0,52.2,16.6,3.144578313253012,52.2,3.4,31.4,0.6016
J130529+1249.6,14, f090,1565028835.0,71.7,22.3,3.2152466367713006,71.7,25.9,26.66,0.3718
J130529+1249.6,14, f090,1565114996.0,71.6,20.6,3.475728155339805,71.6,25.9,26.66,0.3723
J130529+1249.6,14, f090,1565115427.0,72.0,18.2,3.956043956043956,72.0,25.9,26.66,0.3702
J142555+1412.0,2, f090,1505666993.0,280.9,31.5,8.917460317460316,280.9,5.8,18.87,0.0672
J142555+1412.0,2, f150,1505667369.0,544.7,52.9,10.29678638941399,544.7,4.43,26.53,0.0487
J142555+1412.0,2, f090,1505667373.0,352.4,23.6,14.932203389830507,352.4,5.8,18.87,0.0535
J142555+1412.0,2, f090,1505681456.0,110.0,16.9,6.508875739644971,110.0,5.8,18.87,0.1715
J142555+1412.0,2, f090,1505682038.0,78.4,24.1,3.2531120331950207,78.4,5.8,18.87,0.2407
J142555+1412.0,2, f090,1505755026.0,131.5,15.4,8.53896103896104,131.5,5.8,18.87,0.1435
J142555+1412.0,2, f150,1505755576.0,108.3,20.9,5.181818181818182,108.3,4.43,26.53,0.245
J142555+1412.0,2, f090,1505768142.0,64.6,15.5,4.16774193548387,64.6,5.14,19.42,0.3007
J142555+1412.0,2, f220,1540233775.0,359.0,109.6,3.2755474452554747,359.0,31.4,169.29,0.4716
J142555+1412.0,2, f150,1542805583.0,524.9,23.8,22.054621848739494,524.9,16.71,24.5,0.0467
J142555+1412.0,2, f090,1542805591.0,629.2,18.0,34.955555555555556,629.2,8.58,21.66,0.0344
J142555+1412.0,2, f220,1542805617.0,373.7,76.7,4.872229465449804,373.7,36.98,151.21,0.4046
J142555+1412.0,2, f150,1542805635.0,551.1,34.4,16.020348837209305,551.1,16.71,24.5,0.0445
J142555+1412.0,2, f090,1542806100.0,510.2,16.7,30.550898203592816,510.2,8.58,21.66,0.0425
J142555+1412.0,2, f150,1542806100.0,522.5,22.5,23.22222222222222,522.5,16.71,24.5,0.0469
J142555+1412.0,2, f090,1542889831.0,142.6,16.1,8.857142857142856,142.6,20.25,22.16,0.1554
J142555+1412.0,2, f090,1544184701.0,66.6,17.9,3.7206703910614527,66.6,11.58,25.21,0.3786
J165122-0050.1,23, f150,1596145161.0,88.2,26.6,3.3157894736842106,88.2,10.07,52.19,0.5917
J165122-0050.1,23, f220,1599421484.0,379.7,59.5,6.381512605042016,379.7,43.87,109.74,0.289
J165122-0050.1,23, f090,1599421488.0,685.5,24.7,27.753036437246966,685.5,13.22,41.71,0.0608
J165122-0050.1,23, f150,1599421499.0,674.7,29.0,23.26551724137931,674.7,24.61,41.26,0.0612
J165122-0050.1,23, f150,1599421502.0,659.1,42.8,15.399532710280376,659.1,24.61,41.26,0.0626
J165122-0050.1,23, f040,1599441578.0,187.6,61.8,3.0355987055016183,187.6,7.33,135.05,0.7199
J165122-0050.1,23, f090,1599441943.0,176.9,26.6,6.650375939849624,176.9,13.22,41.71,0.2358
J165122-0050.1,23, f150,1599441944.0,125.1,33.4,3.745508982035928,125.1,24.61,41.26,0.3298
J165122-0050.1,23, f090,1602973287.0,78.6,26.2,3.0,78.6,32.96,56.58,0.7198
J173353+1655.1,24, f150,1602960426.0,1070.1,29.1,36.77319587628865,1070.1,20.58,50.05,0.0468
J173353+1655.1,24, f090,1602960428.0,1004.1,22.0,45.64090909090909,1004.1,9.56,44.91,0.0447
J173353+1655.1,24, f220,1602960446.0,735.2,92.4,7.956709956709957,735.2,116.78,173.5,0.236
J173353+1655.1,24, f150,1602960495.0,1077.4,43.1,24.99767981438515,1077.4,20.58,50.05,0.0465
J173353+1655.1,24, f040,1602961139.0,623.4,87.9,7.0921501706484635,623.4,187.53,188.55,0.3025
J173353+1655.1,24, f040,1602970702.0,395.9,74.4,5.321236559139784,395.9,187.53,188.55,0.4763
J173353+1655.1,24, f150,1602971386.0,150.2,42.4,3.542452830188679,150.2,20.58,50.05,0.3332
J173353+1655.1,24, f150,1602971440.0,201.2,24.8,8.11290322580645,201.2,20.58,50.05,0.2487
J173353+1655.1,24, f090,1602971449.0,300.4,19.5,15.405128205128204,300.4,9.56,44.91,0.1495
J174146+0228.6,17, f090,1572108844.0,168.6,24.6,6.853658536585365,168.6,10.64,36.78,0.2182
J174146+0228.6,17, f150,1572108845.0,152.4,31.4,4.853503184713376,152.4,9.32,41.57,0.2728
J174146+0228.6,17, f090,1572109187.0,129.9,23.3,5.575107296137339,129.9,10.64,36.78,0.2832
J174146+0228.6,17, f150,1572109190.0,115.1,26.6,4.327067669172932,115.1,9.32,41.57,0.3612
J175954+1044.3,1, f150,1501903163.0,106.4,28.9,3.6816608996539797,106.4,25.19,54.83,0.5154
J175954+1044.3,1, f090,1501903653.0,147.5,21.4,6.892523364485982,147.5,11.64,43.08,0.2921
J175954+1044.3,1, f150,1501903656.0,229.3,28.4,8.073943661971832,229.3,25.19,54.83,0.2391
J175954+1044.3,1, f150,1501903659.0,292.9,38.3,7.6475195822454305,292.9,25.19,54.83,0.1872
J175954+1044.3,1, f220,1501903659.0,290.9,85.4,3.406323185011709,290.9,85.54,307.52,1.0571
J180723+1942.3,19, f090,1573668077.0,184.3,27.0,6.825925925925926,184.3,26.77,55.77,0.3026
J180723+1942.3,19, f090,1573669034.0,144.1,21.3,6.765258215962441,144.1,26.77,55.77,0.387
J181515-4927.7,18, f150,1573251806.0,549.6,30.5,18.01967213114754,549.6,18.7,87.11,0.1585
J181515-4927.7,18, f090,1573251822.0,314.1,21.2,14.816037735849058,314.1,43.0,58.39,0.1859
J181515-4927.7,18, f150,1573252331.0,1000.1,36.1,27.70360110803324,1000.1,18.7,87.11,0.0871
J181515-4927.7,18, f090,1573252334.0,616.8,23.9,25.807531380753137,616.8,43.0,58.39,0.0947
J192831-3507.9,9, f090,1538534292.0,83.2,27.5,3.0254545454545454,83.2,6.99,39.81,0.4785
J192831-3507.9,9, f150,1538619270.0,2289.2,52.0,44.02307692307692,2289.2,8.77,48.3,0.0211
J192831-3507.9,9, f090,1538619286.0,1732.5,33.0,52.5,1732.5,6.99,39.81,0.023
J192831-3507.9,9, f150,1538619703.0,2331.0,51.4,45.35019455252918,2331.0,8.77,48.3,0.0207
J192831-3507.9,9, f090,1538619707.0,1793.9,34.3,52.30029154518951,1793.9,6.99,39.81,0.0222
J192831-3507.9,9, f090,1565479192.0,549.7,24.5,22.436734693877554,549.7,13.8,67.83,0.1234
J192831-3507.9,9, f150,1565479194.0,624.6,31.4,19.891719745222932,624.6,76.06,80.25,0.1285
J192831-3507.9,9, f220,1565479202.0,593.6,78.6,7.552162849872774,593.6,189.15,308.49,0.5197
J192831-3507.9,9, f150,1565479229.0,622.9,51.6,12.071705426356589,622.9,76.06,80.25,0.1288
J192831-3507.9,9, f090,1565479609.0,513.2,25.5,20.125490196078434,513.2,13.8,67.83,0.1322
J192831-3507.9,9, f150,1565479620.0,595.3,33.6,17.7172619047619,595.3,76.06,80.25,0.1348
J192831-3507.9,9, f090,1565589488.0,129.8,23.1,5.6190476190476195,129.8,13.8,67.83,0.5226
J192831-3507.9,9, f150,1565589827.0,103.0,32.3,3.188854489164087,103.0,76.06,80.25,0.7792
J192831-3507.9,9, f090,1565589839.0,108.0,26.9,4.014869888475837,108.0,13.8,67.83,0.628
J193938-0603.7,21, f150,1592471986.0,621.1,76.4,8.129581151832461,621.1,98.67,126.34,0.2034
J193938-0603.7,21, f150,1592472017.0,656.4,36.1,18.182825484764543,656.4,98.67,126.34,0.1925
J193938-0603.7,21, f090,1592472020.0,330.5,30.2,10.943708609271523,330.5,9.84,117.22,0.3547
J193938-0603.7,21, f220,1592472037.0,903.9,96.0,9.415625,903.9,36.9,373.01,0.4127
J194951-3635.4,26, f150,1617265101.0,110.3,27.7,3.9819494584837547,110.3,28.71,63.65,0.5771
J194951-3635.4,26, f090,1617265106.0,85.8,24.2,3.5454545454545454,85.8,18.03,59.19,0.6899
J194951-3635.4,26, f090,1617891949.0,154.2,31.3,4.926517571884983,154.2,47.66,86.47,0.5608
J194951-3635.4,26, f090,1617952938.0,141.6,32.1,4.411214953271028,141.6,10.45,101.01,0.7133
