Star Name,Band,Intensity (mJy),Pol Amplitude (mJy),3-Sigma Limit (mJy),Max Pol Fraction (%)
J165122-0050.1,f150,659.1,24.61,41.26,0.0626
J165122-0050.1,f040,187.6,7.33,135.05,0.7199
J165122-0050.1,f090,176.9,13.22,41.71,0.2358
J165122-0050.1,f150,125.1,24.61,41.26,0.3298
J035829-5446.6,f150,124.3,36.74,50.23,0.4041
J035829-5446.6,f150,228.5,36.74,50.23,0.2198
J035829-5446.6,f150,221.1,36.74,50.23,0.2272
J035829-5446.6,f090,83.2,23.86,56.05,0.6737
J035829-5446.6,f220,208.1,33.33,132.08,0.6347
J035829-5446.6,f220,397.8,33.33,132.08,0.332
J035829-5446.6,f150,262.4,36.74,50.23,0.1914
J035829-5446.6,f090,83.1,23.86,56.05,0.6745
J035829-5446.6,f150,193.0,36.74,50.23,0.2603
J035829-5446.6,f150,290.4,30.96,95.92,0.3303
J035829-5446.6,f150,191.7,30.96,95.92,0.5004
J035829-5446.6,f090,124.7,19.6,89.04,0.714
J035829-5446.6,f090,146.7,39.05,93.54,0.6376
J035829-5446.6,f150,237.4,34.11,110.81,0.4668
J035829-5446.6,f150,241.4,15.55,51.16,0.2119
J035829-5446.6,f150,215.8,15.55,51.16,0.2371
J035829-5446.6,f150,257.5,15.55,51.16,0.1987
J035829-5446.6,f090,150.1,33.14,51.33,0.342
J035829-5446.6,f220,442.1,62.92,138.72,0.3138
J035829-5446.6,f090,152.8,33.14,51.33,0.3359
J035829-5446.6,f220,306.2,62.92,138.72,0.4531
J035829-5446.6,f150,261.3,15.55,51.16,0.1958
J035829-5446.6,f150,233.4,15.55,51.16,0.2192
J035829-5446.6,f150,209.1,26.65,103.51,0.495
J035829-5446.6,f090,124.2,21.93,90.17,0.726
J035829-5446.6,f090,132.3,6.72,58.26,0.4404
J035829-5446.6,f220,322.8,136.3,356.92,1.1057
J035829-5446.6,f150,228.6,6.22,65.17,0.2851
J035829-5446.6,f150,235.6,6.22,65.17,0.2766
J035829-5446.6,f150,216.8,6.22,65.17,0.3006
J035829-5446.6,f090,132.8,6.72,58.26,0.4387
J035829-5446.6,f150,215.8,6.22,65.17,0.302
J035829-5446.6,f090,179.0,22.06,87.53,0.489
J035829-5446.6,f220,396.7,34.71,343.39,0.8656
J035829-5446.6,f150,257.7,28.6,97.32,0.3776
J035829-5446.6,f150,182.3,13.75,87.87,0.482
J035829-5446.6,f150,234.6,13.75,87.87,0.3746
J035829-5446.6,f090,163.2,23.86,82.92,0.5081
J035829-5446.6,f090,144.0,3.19,89.47,0.6213
J035829-5446.6,f150,235.4,28.09,102.54,0.4356
J035829-5446.6,f150,161.0,9.11,77.56,0.4818
J035829-5446.6,f090,119.6,2.96,67.35,0.5631
J035829-5446.6,f220,253.4,148.86,306.24,1.2085
