star_name,frequency,time,amplitude,uncertainty,snr
J142555+1412.1, f090,1544184701.0,66.6,17.9,3.7206703910614527
J130046+1222.5, f150,1544452664.0,77.1,25.2,3.0595238095238093
J101935+1952.3, f150,1545383907.0,210.0,26.2,8.01526717557252
J130529+1249.6, f150,1552466143.0,268.8,25.5,10.541176470588235
J130529+1249.6, f090,1552466150.0,140.7,19.5,7.215384615384615
J130529+1249.6, f150,1552466499.0,137.8,45.8,3.0087336244541487
J130529+1249.6, f090,1552466561.0,111.7,21.4,5.219626168224299
J130529+1249.6, f150,1552466570.0,99.9,27.3,3.6593406593406597
J130529+1249.6, f150,1552635500.0,88.9,21.1,4.213270142180095
J130529+1249.6, f090,1552635514.0,158.2,18.0,8.788888888888888
J130529+1249.6, f090,1552636038.0,134.6,22.5,5.982222222222222
J130529+1249.6, f150,1552636051.0,103.4,25.0,4.136
J130529+1249.6, f150,1552707412.0,127.4,34.9,3.6504297994269344
J130529+1249.6, f150,1555911287.0,122.5,39.4,3.1091370558375635
J225302+1650.2, f090,1556362547.0,74.7,23.2,3.219827586206897
J225302+1650.2, f150,1559809102.0,163.5,28.8,5.677083333333333
J225302+1650.2, f090,1559809110.0,251.5,22.6,11.128318584070795
J225302+1650.2, f150,1559809140.0,214.1,41.3,5.184019370460049
J225302+1650.2, f150,1559809628.0,132.4,25.8,5.131782945736434
J225302+1650.2, f090,1559809637.0,169.6,21.2,8.0
J225302+1650.2, f090,1560156548.0,70.9,20.9,3.392344497607656
J225302+1650.2, f090,1560843091.0,72.4,23.6,3.067796610169492
J225302+1650.2, f090,1560843620.0,75.3,21.2,3.55188679245283
J225302+1650.2, f090,1561105976.0,79.1,20.7,3.8212560386473426
J225302+1650.2, f090,1561190578.0,59.1,19.1,3.094240837696335
J225302+1650.2, f090,1562139796.0,74.7,23.2,3.219827586206897
J225302+1650.2, f090,1563258502.0,59.1,18.8,3.1436170212765955
J130529+1249.6, f090,1564773173.0,127.1,20.1,6.323383084577114
J130529+1249.6, f150,1564773184.0,129.0,25.1,5.139442231075697
J130529+1249.6, f090,1564773673.0,120.6,20.0,6.029999999999999
J130529+1249.6, f150,1564773681.0,126.8,23.6,5.372881355932203
J130529+1249.6, f090,1564870807.0,52.2,16.6,3.144578313253012
J130529+1249.6, f090,1565028835.0,71.7,22.3,3.2152466367713006
J130529+1249.6, f090,1565114996.0,71.6,20.6,3.475728155339805
J130529+1249.6, f090,1565115427.0,72.0,18.2,3.956043956043956
J033646+0035.1, f150,1565444079.0,387.7,50.5,7.677227722772277
J033647+0035.2, f150,1565444112.0,384.1,50.4,7.621031746031747
J033647+0035.2, f150,1565444131.0,222.2,35.4,6.27683615819209
J033646+0035.1, f090,1565444136.0,521.6,29.0,17.986206896551725
J033646+0035.1, f150,1565444140.0,227.7,35.4,6.432203389830509
J033647+0035.2, f090,1565444142.0,522.1,29.1,17.941580756013746
J192832-3507.9, f090,1565479192.0,549.7,24.5,22.436734693877554
J192832-3507.9, f150,1565479194.0,624.6,31.4,19.891719745222932
J192832-3507.9, f220,1565479202.0,593.6,78.6,7.552162849872774
J192832-3507.9, f150,1565479229.0,622.9,51.6,12.071705426356589
J192832-3507.9, f090,1565479609.0,513.2,25.5,20.125490196078434
J192832-3507.9, f150,1565479620.0,595.3,33.6,17.7172619047619
J033647+0035.2, f090,1565529935.0,281.3,28.1,10.01067615658363
J033647+0035.2, f150,1565529937.0,133.6,38.0,3.5157894736842104
J033646+0035.1, f090,1565529942.0,282.7,28.0,10.096428571428572
J033646+0035.1, f150,1565529954.0,133.6,38.1,3.506561679790026
J033646+0035.1, f150,1565530292.0,144.6,41.9,3.451073985680191
J033647+0035.2, f090,1565530293.0,246.0,28.9,8.512110726643598
J033647+0035.2, f150,1565530296.0,144.8,42.0,3.447619047619048
J033646+0035.1, f090,1565530297.0,246.2,28.9,8.519031141868512
J192832-3507.9, f090,1565589488.0,129.8,23.1,5.6190476190476195
J192832-3507.9, f150,1565589827.0,103.0,32.3,3.188854489164087
J192832-3507.9, f090,1565589839.0,108.0,26.9,4.014869888475837
J033647+0035.2, f090,1565789900.0,144.8,37.0,3.913513513513514
J033646+0035.1, f090,1565789930.0,147.2,37.0,3.978378378378378
J033647+0035.2, f090,1565790195.0,103.6,28.3,3.6607773851590104
J033647+0035.2, f150,1565790197.0,103.1,34.3,3.0058309037900877
J033646+0035.1, f150,1565790201.0,106.9,34.3,3.1166180758017497
J033646+0035.1, f090,1565790206.0,101.5,28.3,3.586572438162544
J125045+1133.4, f090,1568734462.0,289.8,33.6,8.625
J125045+1133.4, f150,1568734468.0,223.9,45.7,4.899343544857768
J125045+1133.4, f150,1568734896.0,161.2,38.8,4.154639175257732
J125045+1133.4, f090,1568734905.0,182.6,27.7,6.5920577617328515
J033646+0035.1, f090,1569474505.0,198.5,29.5,6.728813559322034
J033646+0035.1, f150,1569474509.0,150.1,38.0,3.9499999999999997
J033647+0035.2, f150,1569474522.0,149.7,38.0,3.939473684210526
J033647+0035.2, f090,1569474522.0,201.2,29.5,6.820338983050847
J033646+0035.1, f090,1569474869.0,155.3,26.5,5.860377358490567
J033647+0035.2, f090,1569474895.0,156.4,26.5,5.901886792452831
J033647+0035.2, f150,1569665769.0,478.5,32.7,14.633027522935778
J033647+0035.2, f090,1569665779.0,692.9,28.0,24.74642857142857
J033646+0035.1, f090,1569665811.0,690.1,28.0,24.646428571428572
J033646+0035.1, f150,1569665822.0,479.4,32.6,14.705521472392636
J033647+0035.2, f150,1569666116.0,420.6,46.3,9.084233261339094
J033646+0035.1, f150,1569666149.0,412.7,46.2,8.932900432900432
J033647+0035.2, f220,1569666162.0,260.2,76.7,3.3924380704041717
J033647+0035.2, f090,1569666176.0,641.8,25.9,24.779922779922778
J033646+0035.1, f090,1569666176.0,639.2,25.9,24.67953667953668
J033646+0035.1, f150,1569666179.0,422.3,33.0,12.796969696969697
J033647+0035.2, f150,1569666180.0,421.9,33.1,12.746223564954681
J033646+0035.1, f220,1569666189.0,265.1,76.5,3.465359477124183
J033647+0035.2, f150,1569820274.0,101.7,32.8,3.1006097560975614
J174146+0228.6, f090,1572108844.0,168.6,24.6,6.853658536585365
J174146+0228.6, f150,1572108845.0,152.4,31.4,4.853503184713376
J174146+0228.6, f090,1572109187.0,129.9,23.3,5.575107296137339
J174146+0228.6, f150,1572109190.0,115.1,26.6,4.327067669172932
J040942-0753.4, f150,1572577606.0,168.0,55.8,3.010752688172043
J181515-4927.7, f150,1573251806.0,549.6,30.5,18.01967213114754
J181515-4927.7, f090,1573251822.0,314.1,21.2,14.816037735849058
J181515-4927.7, f150,1573252331.0,1000.1,36.1,27.70360110803324
J181515-4927.7, f090,1573252334.0,616.8,23.9,25.807531380753137
J180723+1942.3, f090,1573668077.0,184.3,27.0,6.825925925925926
J180723+1942.3, f090,1573669034.0,144.1,21.3,6.765258215962441
J040942-0753.4, f090,1575679175.0,218.9,29.5,7.420338983050848
J040942-0753.4, f150,1575679179.0,134.3,42.7,3.1451990632318503
J040942-0753.4, f090,1575679479.0,160.0,31.2,5.128205128205129
J193938-0603.7, f150,1592471986.0,621.1,76.4,8.129581151832461
J193938-0603.7, f150,1592472017.0,656.4,36.1,18.182825484764543
J193938-0603.7, f090,1592472020.0,330.5,30.2,10.943708609271523
J193938-0603.7, f220,1592472037.0,903.9,96.0,9.415625
J165122-0050.1, f150,1596145161.0,88.2,26.6,3.3157894736842106
J035829-5446.6, f030,1596464814.0,573.2,126.1,4.545598731165742
J035829-5446.6, f150,1597217402.0,115.2,37.1,3.105121293800539
J035829-5446.6, f150,1597499519.0,138.2,44.7,3.0917225950782994
J035829-5446.6, f220,1597564259.0,208.3,61.8,3.370550161812298
J035829-5446.6, f150,1597564292.0,80.0,26.1,3.065134099616858
J035829-5446.6, f220,1597846369.0,372.4,112.5,3.310222222222222
J035829-5446.6, f220,1599285299.0,201.1,63.2,3.1819620253164556
J035829-5446.6, f150,1599285337.0,212.1,25.3,8.383399209486166
J035829-5446.6, f090,1599285338.0,130.3,22.3,5.843049327354261
J035829-5446.6, f150,1599285383.0,198.0,38.0,5.2105263157894735
J165122-0050.1, f220,1599421484.0,379.7,59.5,6.381512605042016
J165122-0050.1, f090,1599421488.0,685.5,24.7,27.753036437246966
J165122-0050.1, f150,1599421499.0,674.7,29.0,23.26551724137931
J165122-0050.1, f150,1599421502.0,659.1,42.8,15.399532710280376
J165122-0050.1, f040,1599441578.0,187.6,61.8,3.0355987055016183
J165122-0050.1, f090,1599441943.0,176.9,26.6,6.650375939849624
J165122-0050.1, f150,1599441944.0,125.1,33.4,3.745508982035928
J035829-5446.6, f150,1599483426.0,124.3,36.6,3.396174863387978
J035829-5446.6, f150,1599567364.0,228.5,39.4,5.799492385786802
J035829-5446.6, f150,1599567366.0,221.1,22.7,9.740088105726873
J035829-5446.6, f090,1599567369.0,83.2,20.9,3.980861244019139
J035829-5446.6, f220,1599567396.0,208.1,58.4,3.5633561643835616
J035829-5446.6, f220,1599632202.0,397.8,60.4,6.586092715231788
J035829-5446.6, f150,1599632214.0,262.4,23.5,11.165957446808509
J035829-5446.6, f090,1599632216.0,83.1,19.7,4.218274111675127
J035829-5446.6, f150,1599632253.0,193.0,34.5,5.594202898550725
J035829-5446.6, f150,1599825811.0,290.4,55.7,5.213644524236983
J035829-5446.6, f150,1599825852.0,191.7,31.8,6.028301886792453
J035829-5446.6, f090,1599825852.0,124.7,26.0,4.796153846153846
J035829-5446.6, f090,1599978045.0,146.7,26.8,5.473880597014925
J035829-5446.6, f150,1599978056.0,237.4,34.4,6.901162790697675
J035829-5446.6, f150,1600517389.0,241.4,39.7,6.080604534005038
J035829-5446.6, f150,1600601332.0,215.8,24.2,8.917355371900827
J035829-5446.6, f150,1600601338.0,257.5,40.3,6.389578163771713
J035829-5446.6, f090,1600601356.0,150.1,21.5,6.981395348837209
J035829-5446.6, f220,1600601386.0,442.1,52.5,8.42095238095238
J035829-5446.6, f090,1600666181.0,152.8,21.1,7.241706161137441
J035829-5446.6, f220,1600666184.0,306.2,49.4,6.198380566801619
J035829-5446.6, f150,1600666189.0,261.3,23.2,11.26293103448276
J035829-5446.6, f150,1600666218.0,233.4,36.7,6.35967302452316
J035829-5446.6, f150,1600859875.0,209.1,27.0,7.7444444444444445
J035829-5446.6, f090,1600859884.0,124.2,23.1,5.376623376623376
J035829-5446.6, f090,1601012023.0,132.3,20.9,6.330143540669858
J035829-5446.6, f220,1601012026.0,322.8,92.0,3.508695652173913
J035829-5446.6, f150,1601012037.0,228.6,28.0,8.164285714285715
J035829-5446.6, f150,1601012063.0,235.6,47.6,4.949579831932772
J035829-5446.6, f150,1601203270.0,216.8,47.7,4.545073375262055
J035829-5446.6, f090,1601203309.0,132.8,22.1,6.009049773755656
J035829-5446.6, f150,1601203315.0,215.8,28.2,7.652482269503547
J035829-5446.6, f090,1601353266.0,179.0,24.0,7.458333333333333
J035829-5446.6, f220,1601353276.0,396.7,91.7,4.326063249727372
J035829-5446.6, f150,1601353280.0,257.7,33.3,7.738738738738739
J035829-5446.6, f150,1602237232.0,182.3,49.1,3.7128309572301426
J035829-5446.6, f150,1602237285.0,234.6,29.1,8.061855670103093
J035829-5446.6, f090,1602237302.0,163.2,22.9,7.126637554585153
J035829-5446.6, f090,1602387245.0,144.0,25.3,5.691699604743083
J035829-5446.6, f150,1602387257.0,235.4,35.0,6.725714285714286
J035829-5446.6, f150,1602585396.0,161.0,45.1,3.5698447893569845
J035829-5446.6, f090,1602585407.0,119.6,30.9,3.870550161812298
J035829-5446.6, f220,1602734087.0,253.4,77.1,3.2866407263294426
J035829-5446.6, f150,1602734114.0,233.6,26.8,8.716417910447761
J035829-5446.6, f090,1602734124.0,123.6,21.5,5.748837209302326
J035829-5446.6, f150,1602734191.0,173.8,46.0,3.7782608695652176
J035829-5446.6, f150,1602927775.0,197.9,41.4,4.780193236714976
J035829-5446.6, f090,1602927784.0,137.6,21.4,6.429906542056075
J035829-5446.6, f150,1602927788.0,139.6,25.9,5.38996138996139
J035829-5446.6, f220,1602927804.0,215.2,57.2,3.762237762237762
J173353+1655.1, f150,1602960426.0,1070.1,29.1,36.77319587628865
J173353+1655.1, f090,1602960428.0,1004.1,22.0,45.64090909090909
J173353+1655.1, f220,1602960446.0,735.2,92.4,7.956709956709957
J173353+1655.1, f150,1602960495.0,1077.4,43.1,24.99767981438515
J173353+1655.1, f040,1602961139.0,623.4,87.9,7.0921501706484635
J173353+1655.1, f040,1602970702.0,395.9,74.4,5.321236559139784
J173353+1655.1, f150,1602971386.0,150.2,42.4,3.542452830188679
J173353+1655.1, f150,1602971440.0,201.2,24.8,8.11290322580645
J173353+1655.1, f090,1602971449.0,300.4,19.5,15.405128205128204
J165122-0050.1, f090,1602973287.0,78.6,26.2,3.0
J035829-5446.6, f090,1603079951.0,193.6,28.2,6.865248226950355
J035829-5446.6, f150,1603079955.0,133.1,39.8,3.3442211055276383
J035829-5446.6, f090,1603421223.0,133.1,25.3,5.260869565217391
J204746-3635.7, f220,1603937603.0,222.0,72.1,3.079056865464633
J204746-3635.7, f030,1604172715.0,491.2,152.0,3.231578947368421
J204746-3635.7, f150,1605290307.0,414.1,69.4,5.96685878962536
J204746-3635.7, f150,1605290334.0,437.8,54.7,8.003656307129798
J204746-3635.7, f030,1606005177.0,462.9,154.2,3.001945525291829
J194951-3635.4, f150,1617265101.0,110.3,27.7,3.9819494584837547
J194951-3635.4, f090,1617265106.0,85.8,24.2,3.5454545454545454
J194951-3635.4, f090,1617891949.0,154.2,31.3,4.926517571884983
J194951-3635.4, f090,1617952938.0,141.6,32.1,4.411214953271028
J194951-3635.4, f090,1618583513.0,93.3,26.5,3.520754716981132
J194951-3635.4, f150,1618644484.0,98.1,30.3,3.2376237623762374
J194951-3635.4, f090,1618644486.0,146.0,24.8,5.887096774193548
J194951-3635.4, f090,1618925919.0,104.2,27.4,3.802919708029197
J194951-3635.4, f090,1618986911.0,88.2,25.4,3.4724409448818903
J194951-3635.4, f090,1619333087.0,100.9,28.9,3.4913494809688586
J194951-3635.4, f090,1619419219.0,73.8,24.2,3.049586776859504
J194951-3635.4, f150,1620305279.0,98.6,32.4,3.0432098765432096
J194951-3635.4, f090,1620367020.0,118.3,27.6,4.286231884057971
J194951-3635.4, f150,1620563781.0,123.2,30.5,4.039344262295082
J194951-3635.4, f090,1620563787.0,157.4,26.0,6.053846153846154
J194951-3635.4, f150,1621054832.0,189.0,46.7,4.047109207708779
J194951-3635.4, f150,1621254552.0,198.5,48.2,4.118257261410788
J194951-3635.4, f090,1621254586.0,146.5,25.0,5.86
J194951-3635.4, f150,1621339199.0,185.8,54.0,3.440740740740741
J194951-3635.4, f150,1621339266.0,163.6,29.7,5.508417508417509
J194951-3635.4, f090,1621339267.0,171.3,25.8,6.6395348837209305
J194951-3635.4, f150,1621400983.0,194.0,30.8,6.298701298701299
J194951-3635.4, f090,1621400987.0,221.5,25.1,8.824701195219124
J194951-3635.4, f150,1621401017.0,231.0,47.4,4.8734177215189876
J194951-3635.4, f090,1621830317.0,312.0,25.9,12.046332046332047
J194951-3635.4, f150,1621830334.0,224.2,34.2,6.5555555555555545
J194951-3635.4, f150,1621830336.0,235.6,51.3,4.592592592592593
J194951-3635.4, f040,1621830755.0,225.9,74.4,3.036290322580645
J194951-3635.4, f150,1621941645.0,248.7,61.3,4.057096247960848
J194951-3635.4, f090,1621941667.0,324.9,31.2,10.413461538461538
J194951-3635.4, f150,1621941684.0,252.1,39.7,6.3501259445843825
J194951-3635.4, f090,1623122782.0,280.0,30.3,9.24092409240924
J194951-3635.4, f040,1623123113.0,295.5,88.2,3.3503401360544216
J033646+0035.1, f150,1632910578.0,261.4,51.8,5.046332046332046
J033646+0035.1, f090,1632910614.0,625.0,27.0,23.14814814814815
J033646+0035.1, f150,1632911056.0,351.2,35.0,10.034285714285714
J033646+0035.1, f090,1633064365.0,318.4,30.4,10.473684210526315
J033646+0035.1, f150,1633064366.0,143.5,44.0,3.2613636363636362
J001309+0535.5, f090,1653127061.0,157.6,28.0,5.628571428571428
J001309+0535.5, f150,1653127068.0,168.7,34.6,4.875722543352601
J001309+0535.5, f150,1653127073.0,259.0,58.9,4.397283531409168
